Title,Author,Publisher,Date Read,Rating,My Rating,Category,Pages
"Skin coach. Twoja droga do pięknej i zdrowej skóry",Bożena Społowicz,Otwarte,2018-07-08,4.6,6,poradniki,320
"Pochówek dla rezuna",Paweł Smoleński,Czarne,2018-06-28,7.1,8,reportaż,192
"Świnia ryje w sieci, czyli z pamiętnika hejtera",PigOut,Edipresse,2018-06-20,7.0,7,reportaż,256
"Międzymorze. Podróże przez prawdziwą i wyobrażoną Europę Środkową",Ziemowit Szczerek,Agora, Czarne,2018-06-18,6.9,8,reportaż,344
"Ma być czysto",Anna Cieplak,Krytyka Polityczna,2018-06-07,6.2,5,literatura piękna,232
"Babska szychta",Karolina Baca-Pogorzelska,Tartak wyrazów,2018-06-05,6.0,5,reportaż,140
"Zaraza",Jerzy Ambroziewicz,Dowody na Istnienie,2018-06-04,7.1,8,reportaż,280
"Delfin w malinach. Snobizmy i obyczaje ostatniej dekady",Michał Paweł Markowski | Iwona Kurz,Czarne,2018-05-28,5.7,7,publicystyka literacka | eseje,408
"Zastrzelony jadłospis",Anna Bojarska,Vis-á-Vis/Etiuda,2018-05-11,5.1,8,powieść historyczna,104
"Gottland",Mariusz Szczygieł,Czarne,2018-05-06,7.7,8,reportaż,256
"Zapiski na biletach",Michał Olszewski,Czarne,2018-04-29,6.8,6,reportaż,304
"Każdy został człowiekiem",Piotr Nesterowicz,Czarne,2018-04-18,6.8,8,reportaż,240
"Święte krowy na kółkach",Jacek Fedorowicz,Wielka Litera,2018-04-12,7.1,6,publicystyka literacka | eseje,312
"Noc żywych Żydów",Igor Ostachowicz,,2018-03-30,6.1,6,literatura piękna,
"Karawana kryzysu. Za kulisami przemysłu pomocy humanitarnej",Linda Polman,Czarne,2018-03-22,7.4,6,reportaż,264
"Wniebowzięte. O stewardesach w PRL-u",Anna Sulińska,Czarne,2018-03-09,7.2,7,reportaż,234
"Polonez na polu minowym",Dorota Wodecka,Agora,2018-02-22,6.3,7,reportaż,256
"Droga do domu",Yaa Gyasi,Wydawnictwo Literackie,2018-02-12,7.1,7,literatura piękna,412
"Jak przejąć kontrolę nad światem nie wychodząc z domu",Dorota Masłowska,Wydawnictwo Literackie,2017-12-27,7.1,7,literatura piękna,232
