Title,Author,Publisher,Date Read,Rating,My Rating,Category,Pages
"Harry Potter i Kamień Filozoficzny",J.K. Rowling,Media Rodzina,,8.1,,fantasy | science fiction,324
"Słońce też wschodzi",Ernest Hemingway,Muza,,6.8,,klasyka,274
"Daisy Miller",Henry James,Książka i Wiedza,,5.8,,literatura piękna,115
"Wielki Gatsby",F. Scott Fitzgerald,Rebis,,7.1,,klasyka,184
"Czerwone i czarne",Stendhal,Zielona Sowa,,6.8,,klasyka,424
"Germinal",Emil Zola,Zielona Sowa,,7.7,,klasyka,352
"Własny pokój",Virginia Woolf,Sic!,,7.7,,publicystyka literacka | eseje,244
"Pani Dalloway",Virginia Woolf,Znak,,7.3,7,literatura piękna,210
"Do latarni morskiej",Virginia Woolf,Czytelnik,,7.2,7,literatura piękna,246
"Jądro ciemności",Joseph Conrad,Zielona Sowa,,6.0,,literatura dziecięca,87
"Powrót do Howards End",Edward Morgan Forster,Prószyński i S-ka,,6.8,,literatura piękna,344
"Dom Lalki (Nora)",Henrik Ibsen,Państwowy Instytut Wydawniczy,,7.3,,utwór dramatyczny (dramat | komedia | tragedia),126
"Myszy i ludzie",John Steinbeck,Muza,,7.8,,klasyka,128
"Buszujący w zbożu",J.D. Salinger,Albatros,,6.7,,literatura piękna,304
"Przebudzenie",Kate Chopin,Oficyna Wydawnicza Comfort,,6.1,,literatura obyczajowa | romans,142
"Zamczysko w Otranto: opowieść gotycka",Horace Walpole,Wydawnictwo Literackie,,6.3,,klasyka,106
"Frankenstein",Mary Shelley,Zielona Sowa,,7.2,,horror,176
"Kolekcjoner",John Fowles,Zysk i S-ka,,7.1,,kryminał | sensacja | thriller,272
"Wide Sargasso Sea",Jean Rhys,Penguin Books,,6.5,,literatura piękna,160
"Dziwne losy Jane Eyre",Charlotte Brontë,Prószyński i S-ka,,7.9,,klasyka,558
"Znak czterech",Arthur Conan Doyle,Oficyna Wydawnicza RYTM,,7.2,1,kryminał | sensacja | thriller,152
"Jumper",Steven Gould,Amber,2011-02-11,6.3,5,fantasy | science fiction,286
"Oryks i Derkacz",Margaret Atwood,Zysk i S-ka,2011-02-10,7.4,9,fantasy | science fiction,335
"Kolumbowie Rocznik 20",Roman Bratny,Państwowy Instytut Wydawniczy,,7.3,,literatura piękna,524
"Popiół i diament",Jerzy Andrzejewski,Czytelnik,,6.7,,klasyka,334
"Labirynt",Kate Mosse,Prószyński i S-ka,,6.1,,powieść historyczna,480
"Linia czasu",Michael Crichton,Amber,,6.6,,kryminał | sensacja | thriller,414
"Kwaidan",Lafcadio Hearn,Diamond Books,,7.3,,kryminał | sensacja | thriller,176
"Konieczne kłamstwa",Ewa Stachniak,Twój Styl,,6.3,,literatura piękna,352
"Kraj rodzinny",Clare Francis,Świat Książki,,5.7,,literatura piękna,416
"Furia",Salman Rushdie,Rebis,,6.5,,literatura piękna,255
"Nowy wspaniały świat",Aldous Huxley,Muza,,7.7,,fantasy | science fiction,250
"Mistrz i Małgorzata",Michaił Bułhakow,Muza,,8.4,,literatura piękna,544
"Cierpkość wiśni",Izabela Sowa,Prószyński i S-ka,,6.1,,literatura piękna,216
"10 minut od centrum",Izabela Sowa,Wydawnictwo Autorskie Katarzyna Grochola,,5.8,,literatura piękna,316
"Przekonać Annie",Melissa Nathan,Albatros,2011-02-06,6.1,,literatura piękna,408
"Niania w Londynie",Melissa Nathan,Albatros,,6.4,,literatura obyczajowa | romans,463
"Nauczycielka",Melissa Nathan,Albatros,,6.1,,literatura obyczajowa | romans,480
"Miłość Peonii",Lisa See,Świat Książki,,6.6,,literatura obyczajowa | romans,400
"Foe",John Maxwell Coetzee,Znak,,6.0,,literatura piękna,160
"Chłopiec z latawcem",Khaled Hosseini,Amber,,8.3,,literatura piękna,272
"Świat Zofii",Jostein Gaarder,Jacek Santorski & Co,,7.2,,literatura młodzieżowa,560
"Maja",Jostein Gaarder,Jacek Santorski & Co,,6.9,,literatura piękna,396
"Dwie miłości",Maria Nurowska,W.A.B.,,7.0,,literatura piękna,224
"Powrót do Lwowa",Maria Nurowska,W.A.B.,,7.1,,literatura piękna,272
"Imię twoje...",Maria Nurowska,W.A.B.,,7.0,,literatura piękna,260
"Szafa",Olga Tokarczuk,Wydawnictwo Literackie,,6.9,,literatura piękna,64
"Wojna polsko-ruska pod flagą biało-czerwoną",Dorota Masłowska,Lampa i Iskra Boża,,5.6,,literatura piękna,208
"W Krainie Kota",Dorota Terakowska,Wydawnictwo Literackie,,6.9,,literatura piękna,216
"Tam, gdzie spadają Anioły",Dorota Terakowska,Wydawnictwo Literackie,,7.2,,literatura piękna,312
"Rok 1984",George Orwell,Państwowy Instytut Wydawniczy,,8.5,,literatura piękna,220
"Żona podróżnika w czasie",Audrey Niffenegger,Świat Książki,,7.5,,literatura piękna,496
"Kwiat pustyni. Z namiotu nomadów do Nowego Jorku.",Waris Dirie | Cathleen Miller,Świat Książki,,7.4,,biografia | autobiografia | pamiętnik,254
"Dziecko Noego",Éric-Emmanuel Schmitt,Znak,,7.3,,literatura piękna,132
"Szczelina",Doris Lessing,Świat Książki,,5.4,,literatura obyczajowa | romans,272
"Cień wiatru",Carlos Ruiz Zafón,Muza,,8.1,,literatura piękna,516
"Biały oleander",Janet Fitch,Zysk i S-ka,,7.5,,literatura piękna,428
"Brick Lane",Monica Ali,Zysk i S-ka,,6.2,,literatura piękna,376
"Dziękuję za wspomnienia",Cecelia Ahern,Świat Książki,,6.6,,literatura obyczajowa | romans,384
"Tektonika uczuć",Éric-Emmanuel Schmitt,Znak,,7.0,,utwór dramatyczny (dramat | komedia | tragedia),100
"Kobieta zawiedziona",Simone de Beauvoir,Państwowy Instytut Wydawniczy,,7.3,,literatura piękna,168
"Historyk",Elizabeth Kostova,Świat Książki,,6.7,,kryminał | sensacja | thriller,632
"PL +50. Historie przyszłości",Stanisław Lem | Zygmunt Bauman,Wydawnictwo Literackie,,6.1,,fantasy | science fiction,558
"Ostatnie historie",Olga Tokarczuk,Wydawnictwo Literackie,,6.7,,literatura piękna,292
"Anna In w grobowcach świata",Olga Tokarczuk,Znak,,6.8,,literatura piękna,222
"Jesienne werble",Diana Gabaldon,Świat Książki,,7.7,,literatura piękna,100
"Ognisty krzyż  T.2",Diana Gabaldon,Świat Książki,,7.4,,literatura obyczajowa | romans,528
"Uwięziona w bursztynie",Diana Gabaldon,Świat Książki,,7.6,,literatura piękna,837
"Ognisty krzyż T.1",Diana Gabaldon,Świat Książki,,7.4,,literatura obyczajowa | romans,718
"Podróżniczka",Diana Gabaldon,Świat Książki,,7.8,,literatura obyczajowa | romans,951
"Szklany klosz",Sylvia Plath,Zysk i S-ka,,7.6,,literatura piękna,256
"Grona gniewu",John Steinbeck,Porozumienie Wydawców,,8.3,,klasyka,684
"Portret Doriana Graya",Oscar Wilde,Zielona Sowa,,7.8,,klasyka,178
"Portret artysty w wieku młodzieńczym",James Joyce,Znak,,6.9,,literatura piękna,263
"Perswazje",Jane Austen,Prószyński i S-ka,,7.3,,literatura obyczajowa | romans,200
"Mansfield Park",Jane Austen,Prószyński i S-ka,,6.9,,klasyka,392
"Duma i uprzedzenie",Jane Austen,Prószyński i S-ka,,8.0,,klasyka,304
"Wszystkie boże dzieci tańczą",Haruki Murakami,Muza,,6.6,5,literatura piękna,182
"Przygoda z owcą",Haruki Murakami,Muza,,7.0,9,literatura piękna,418
"Na południe od granicy, na zachód od słońca",Haruki Murakami,Muza,,7.0,5,literatura piękna,232
"Kafka nad morzem",Haruki Murakami,Muza,,7.5,7,literatura piękna,624
"Wpadka",Nick Hornby,Nowa Proza,,5.6,7,literatura dziecięca,279
"Ptaki ciernistych krzewów",Colleen McCullough,Świat Książki,,7.7,3,literatura piękna,608
"Umiłowana",Toni Morrison,Znak,,7.5,9,literatura piękna,368
"Rzęsy na opak",Dawid Kornaga,Świat Książki,,6.4,7,literatura piękna,176
"Znieczulenie miejscowe",Dawid Kornaga,Prószyński i S-ka,,4.2,,literatura piękna,263
"Zagadka wiecznego pióra",Carol Shields,Świat Książki,,5.7,7,kryminał | sensacja | thriller,318
"Alicja w Krainie Czarów. Po drugiej Stronie Lustra",Lewis Carroll,Vesper,,7.6,,literatura dziecięca,370
"Zamek w chmurach",Diana Wynne Jones,Amber,,6.8,7,literatura dziecięca,216
